"Date","Price","Open","High","Low","Vol.","Change %"
"04/01/2002","8.3600","8.3600","8.3600","8.3600","","0.00%"
"03/01/2002","8.3600","8.3600","8.3600","8.3600","","0.00%"
"02/01/2002","8.3600","8.3600","8.3600","8.3600","","-0.24%"
"01/01/2002","8.3800","8.3800","8.3800","8.3800","","-0.83%"
"12/01/2001","8.4500","8.4500","8.4500","8.4500","","0.36%"
"11/01/2001","8.4200","8.4200","8.4200","8.4200","","-0.14%"
"10/01/2001","8.4320","8.4320","8.4320","8.4320","","0.19%"
"09/01/2001","8.4160","8.4160","8.4160","8.4160","","0.23%"
"08/01/2001","8.3970","8.3970","8.3970","8.3970","","1.78%"
"07/01/2001","8.2500","8.2500","8.2500","8.2500","","-0.96%"
"06/01/2001","8.3300","8.3300","8.3300","8.3300","","0.13%"
"05/01/2001","8.3195","8.3195","8.3195","8.3195","","0.27%"
"04/01/2001","8.2970","8.2970","8.2970","8.2970","","0.35%"
"03/01/2001","8.2680","8.2680","8.2680","8.2680","","0.22%"
"02/01/2001","8.2500","8.2500","8.2500","8.2500","","0.10%"
"01/01/2001","8.2420","8.2420","8.2420","8.2420","","0.21%"
"12/01/2000","8.2250","8.2250","8.2250","8.2250","","0.57%"
"11/01/2000","8.1787","8.1787","8.1787","8.1787","","0.28%"
"10/01/2000","8.1560","8.1560","8.1560","8.1560","","0.12%"
"09/01/2000","8.1460","8.1460","8.1460","8.1460","","0.05%"
"08/01/2000","8.1420","8.1420","8.1420","8.1420","","1.78%"
"07/01/2000","8.0000","8.0000","8.0000","8.0000","","-1.26%"
"06/01/2000","8.1020","8.1020","8.1020","8.1020","","0.01%"
"05/01/2000","8.1010","8.1010","8.1010","8.1010","","0.43%"
"04/01/2000","8.0665","8.0665","8.0665","8.0665","","-0.67%"
"03/01/2000","8.1210","8.1210","8.1210","8.1210","","1.10%"
"02/01/2000","8.0323","8.0323","8.0323","8.0323","","-0.03%"
"01/01/2000","8.0351","8.0351","8.0351","8.0351","","0.46%"
"12/01/1999","7.9987","7.9987","7.9987","7.9987","","-0.02%"
"11/01/1999","8.0000","8.0000","8.0000","8.0000","","-0.24%"
"10/01/1999","8.0194","8.0194","8.0194","8.0194","","0.15%"
"09/01/1999","8.0075","8.0075","8.0075","8.0075","","-0.10%"
"08/01/1999","8.0155","8.0155","8.0155","8.0155","","0.44%"
"07/01/1999","7.9800","7.9800","7.9800","7.9800","","2.97%"
"06/01/1999","7.7500","7.7500","7.7500","7.7500","","-0.62%"
"05/01/1999","7.7984","7.7984","7.7984","7.7984","","-0.31%"
"04/01/1999","7.8223","7.8223","7.8223","7.8223","","0.21%"
"03/01/1999","7.8058","7.8058","7.8058","7.8058","","4.07%"
"02/01/1999","7.5006","7.5006","7.5006","7.5006","","0.97%"
"01/01/1999","7.4285","7.4285","7.4285","7.4285","","0.22%"
"12/01/1998","7.4119","7.4119","7.4119","7.4119","","0.33%"
"11/01/1998","7.3875","7.3875","7.3875","7.3875","","3.51%"
"10/01/1998","7.1369","7.1369","7.1369","7.1369","","0.80%"
"09/01/1998","7.0805","7.0805","7.0805","7.0805","","1.13%"
"08/01/1998","7.0015","7.0015","7.0015","7.0015","","0.18%"
"07/01/1998","6.9890","6.9890","6.9890","6.9890","","1.02%"
"06/01/1998","6.9183","6.9183","6.9183","6.9183","","-0.93%"
"05/01/1998","6.9830","6.9830","6.9830","6.9830","","1.00%"
"04/01/1998","6.9141","6.9141","6.9141","6.9141","","1.49%"
"03/01/1998","6.8125","6.8125","6.8125","6.8125","","0.45%"
"02/01/1998","6.7820","6.7820","6.7820","6.7820","","1.03%"
"01/01/1998","6.7130","6.7130","6.7130","6.7130","","0.19%"
"12/01/1997","6.7000","6.7000","6.7000","6.7000","","0.41%"
"11/01/1997","6.6725","6.6725","6.6725","6.6725","","-0.19%"
"10/01/1997","6.6850","6.6850","6.6850","6.6850","","-0.12%"
"09/01/1997","6.6931","6.6931","6.6931","6.6931","","0.16%"
"08/01/1997","6.6825","6.6825","6.6825","6.6825","","0.92%"
"07/01/1997","6.6215","6.6215","6.6215","6.6215","","0.38%"
"06/01/1997","6.5967","6.5967","6.5967","6.5967","","2.27%"
"05/01/1997","6.4500","6.4500","6.4500","6.4500","","0.00%"
"04/01/1997","6.4500","6.4500","6.4500","6.4500","","1.25%"
"03/01/1997","6.3705","6.3705","6.3705","6.3705","","2.24%"
"02/01/1997","6.2310","6.2310","6.2310","6.2310","","0.55%"
"01/01/1997","6.1970","6.1970","6.1970","6.1970","","1.59%"
"12/01/1996","6.1000","6.1000","6.1000","6.1000","","-1.90%"
"11/01/1996","6.2181","6.2181","6.2181","6.2181","","3.64%"
"10/01/1996","6.0000","6.0000","6.0000","6.0000","","0.00%"
"09/01/1996","6.0000","6.0000","6.0000","6.0000","","0.00%"
"08/01/1996","6.0000","6.0000","6.0000","6.0000","","0.00%"
"07/01/1996","6.0000","6.0000","6.0000","6.0000","","0.00%"
"06/01/1996","6.0000","6.0000","6.0000","6.0000","","0.00%"
"05/01/1996","6.0000","6.0000","6.0000","6.0000","","0.00%"
"04/01/1996","6.0000","6.0000","6.0000","6.0000","","-29.41%"
"03/01/1996","8.5000","8.5000","8.5000","8.5000","","35.14%"
"02/01/1996","6.2900","6.2900","6.2900","6.2900","","8.45%"
"01/01/1996","5.8000","5.8000","5.8000","5.8000","","0.00%"
